ds,RealVal,PatchTST,LSTM
1/16/2024 7:00,1.4,2.328312397,2.406308174
1/16/2024 8:00,0.7,0.848228216,1.624204159
1/16/2024 9:00,0.7,0.530757606,1.179737091
1/16/2024 10:00,2.2,0.942557693,1.16408205
1/16/2024 11:00,4,3.476212025,2.675657034
1/16/2024 12:00,3.6,5.657235622,4.608233929
1/16/2024 13:00,1.8,3.644614458,3.215890646
1/16/2024 14:00,2.2,1.480849266,1.677307844
1/16/2024 15:00,2.5,2.533826351,2.861067772
1/16/2024 16:00,4,2.655484438,2.965112686
1/16/2024 17:00,3.2,4.822845936,4.580186367
1/16/2024 18:00,2.2,2.780873537,2.960651875
1/16/2024 19:00,2.2,1.640610933,2.135666847
1/16/2024 20:00,2.9,2.214174747,2.466858864
1/16/2024 21:00,1.8,3.391401291,3.155846834
1/16/2024 22:00,2.2,1.512293339,1.993456841
1/16/2024 23:00,2.9,2.174552679,2.30452919
1/17/2024 0:00,3.6,3.204525471,3.177031517
1/17/2024 1:00,4.3,3.905208349,3.391918421
1/17/2024 2:00,1.1,4.655187607,4.086847782
1/17/2024 3:00,1.8,0.073141456,1.759085417
1/17/2024 4:00,2.2,2.045899391,2.067999125
1/17/2024 5:00,2.9,2.581777811,2.48500061
1/17/2024 6:00,3.2,3.261768341,2.689863443
1/17/2024 7:00,3.2,3.306202173,3.09645319
1/17/2024 8:00,4.7,3.217313528,3.009876966
1/17/2024 9:00,5.8,6.055173874,4.819861412
1/17/2024 10:00,5.8,6.802620888,5.996796131
1/17/2024 11:00,7.2,5.774754047,5.37677145
1/17/2024 12:00,2.2,8.481415749,7.437273979
1/17/2024 13:00,2.2,0.869912505,2.580619812
1/17/2024 14:00,1.1,2.244700432,2.584877253
1/17/2024 15:00,4.3,1.208593488,1.867448807
1/17/2024 16:00,6.8,6.693881035,4.690855503
1/17/2024 17:00,7.9,9.482124329,7.188383579
1/17/2024 18:00,5,8.314685822,7.378297329
1/17/2024 19:00,7.2,3.903963089,4.273273945
1/17/2024 20:00,7.6,8.837762833,7.059930325
1/17/2024 21:00,5.4,7.827084064,7.153997421
1/17/2024 22:00,4,4.285374641,4.582780361
1/17/2024 23:00,1.8,3.372752905,3.706130505
1/18/2024 0:00,1.1,1.274897099,2.435656548
1/18/2024 1:00,2.5,1.052474976,1.90871191
1/18/2024 2:00,0.4,3.193708897,3.009046078
1/18/2024 3:00,3.2,-0.23731336,1.592099905
1/18/2024 4:00,3.2,5.480653763,3.931615353
1/18/2024 5:00,3.6,3.295284986,3.04966712
1/18/2024 6:00,4,3.715518713,3.40709281
1/18/2024 7:00,5.4,4.226342678,3.977136612
1/18/2024 8:00,5.4,6.310421944,5.520288944
1/18/2024 9:00,3.2,5.48213625,5.154577255
1/18/2024 10:00,4.7,2.377773523,3.053882122
1/18/2024 11:00,6.5,5.825435638,5.517508984
1/18/2024 12:00,6.8,8.076465607,7.298698902
1/18/2024 13:00,6.1,6.729184151,6.583791733
1/18/2024 14:00,4.7,5.81359005,5.800328255
1/18/2024 15:00,4.7,4.410227776,4.175323963
1/18/2024 16:00,4.7,4.811257362,4.461185932
1/18/2024 17:00,4.7,4.429646969,4.484671593
1/18/2024 18:00,4.7,4.476353168,4.227372646
1/18/2024 19:00,4,4.694327831,4.334745407
1/18/2024 20:00,6.8,3.468995333,3.558822155
1/18/2024 21:00,8.3,9.295537949,7.221205711
1/18/2024 22:00,7.2,9.908582687,8.376234055
1/18/2024 23:00,4.3,6.186942101,6.075434685
1/19/2024 0:00,6.1,3.137428284,3.586237192
1/19/2024 1:00,5.4,7.630208969,6.11521244
1/19/2024 2:00,4.7,5.117519855,4.944836617
1/19/2024 3:00,5.8,4.071312428,4.247702122
1/19/2024 4:00,6.1,6.30748415,5.748325825
1/19/2024 5:00,5.4,6.200267315,5.700885773
1/19/2024 6:00,4,5.104465008,4.956892967
1/19/2024 7:00,3.6,3.293271303,3.664090633
1/19/2024 8:00,4.7,3.385326862,3.61785841
1/19/2024 9:00,4,5.424824238,5.135705471
1/19/2024 10:00,5,3.622341156,3.627865791
1/19/2024 11:00,5,5.446408749,5.803538322
1/19/2024 12:00,4.3,4.774187088,5.176848888
1/19/2024 13:00,3.2,3.951556921,4.452019215
1/19/2024 14:00,2.5,2.967437983,3.277445793
1/19/2024 15:00,2.9,2.468349218,2.684744358
1/19/2024 16:00,2.9,3.181715012,3.207176685
1/19/2024 17:00,2.5,2.687545061,2.887202501
1/19/2024 18:00,3.2,2.160813093,2.427663326
1/19/2024 19:00,3.2,3.681958914,3.436527729
1/19/2024 20:00,2.9,3.273097277,3.212927341
1/19/2024 21:00,3.6,2.720291376,2.719226837
1/19/2024 22:00,2.2,3.874341011,3.70357132
1/19/2024 23:00,4,1.837649584,2.461911678
1/20/2024 0:00,4,5.304702282,4.217880249
1/20/2024 1:00,0.4,3.868046522,3.914160967
1/20/2024 2:00,2.5,-0.486462146,2.177181244
1/20/2024 3:00,0.7,4.643244743,3.146696329
1/20/2024 4:00,5,0.489918888,1.945126057
1/20/2024 5:00,3.6,8.962080002,4.911775589
1/20/2024 6:00,7.6,3.347933292,3.320649385
1/20/2024 7:00,5.4,12.20727062,6.647385597
1/20/2024 8:00,4,4.676800251,4.623431683
1/20/2024 9:00,0,3.005755424,3.501154184
1/20/2024 10:00,2.9,-0.45082134,2.310247898
1/20/2024 11:00,4.3,5.918745995,3.575221062
1/20/2024 12:00,7.9,6.659572601,4.213212013
1/20/2024 13:00,8.3,12.11269855,6.825622082
1/20/2024 14:00,5.8,9.316982269,7.250990391
1/20/2024 15:00,4.3,4.60615778,4.999365807
1/20/2024 16:00,5.8,3.700486898,4.031410217
1/20/2024 17:00,6.8,6.342427731,5.592026234
1/20/2024 18:00,10.8,6.884755135,6.272406578
1/20/2024 19:00,11.9,11.92628479,9.306394577
1/20/2024 20:00,6.8,11.8592453,11.35977459
1/20/2024 21:00,9.4,4.500190735,4.96186161
1/20/2024 22:00,11.5,9.900571823,7.938870907
1/20/2024 23:00,7.9,12.17971325,10.15663528
1/21/2024 0:00,11.5,6.085118294,6.223966599
1/21/2024 1:00,9.4,10.97698021,9.060186386
1/21/2024 2:00,5.8,8.096050262,7.831325531
1/21/2024 3:00,6.8,4.501583576,5.00289917
1/21/2024 4:00,10.4,7.277601719,6.436876297
1/21/2024 5:00,9.7,11.40278149,8.620834351
1/21/2024 6:00,7.9,9.087465286,8.029275894
1/21/2024 7:00,8.6,6.785051346,7.035500526
1/21/2024 8:00,7.9,8.726924896,7.912237644
1/21/2024 9:00,8.3,7.227042198,7.21869278
1/21/2024 10:00,11.2,8.574232101,7.937831402
1/21/2024 11:00,11.2,13.10083961,10.38739491
1/21/2024 12:00,12.6,11.01809406,11.00026989
1/21/2024 13:00,15.8,12.96847439,13.25604916
1/21/2024 14:00,15.8,17.0929718,16.53499794
1/21/2024 15:00,14.4,15.87663174,15.27637386
1/21/2024 16:00,10.8,13.16332436,14.35445118
1/21/2024 17:00,10.4,8.896366119,9.598953247
1/21/2024 18:00,12.2,10.27882481,9.40495491
1/21/2024 19:00,10.4,12.41333675,11.03921127
1/21/2024 20:00,9,9.020513535,8.691104889
1/21/2024 21:00,8.6,7.801960468,7.795674324
1/21/2024 22:00,4.3,8.161911011,7.765584946
1/21/2024 23:00,6.5,3.263088226,4.75502491
1/22/2024 0:00,3.6,7.386602879,6.274421215
1/22/2024 1:00,1.4,2.969542742,4.10815382
1/22/2024 2:00,3.2,1.0224998,3.175497532
1/22/2024 3:00,5.4,4.807781696,3.639977455
1/22/2024 4:00,7.2,6.96953249,4.818281174
1/22/2024 5:00,9,8.430609703,6.154754162
1/22/2024 6:00,10.1,9.656824112,7.736525536
1/22/2024 7:00,9,10.85175896,8.983748436
1/22/2024 8:00,10.1,8.385034561,8.219358444
1/22/2024 9:00,7.9,10.49200821,10.20829487
1/22/2024 10:00,6.8,7.164564133,6.982110977
1/22/2024 11:00,9.4,6.496557236,6.661350727
1/22/2024 12:00,7.6,11.25981617,9.860694885
1/22/2024 13:00,11.2,6.742070675,7.139757156
1/22/2024 14:00,11.5,12.64569378,11.32310963
1/22/2024 15:00,15.8,11.70101166,11.11227226
